date,country,category,sku_id,sales_qty,true_demand,is_stockout,holiday_boost,promo_boost
2023-01-02,MY,Sports,Gym_Gloves_XL,80,80,0,1.0545,1.0
2023-01-02,MY,Fashion,Sunglasses_UV400,294,294,0,1.8727,1.0
2023-01-02,MY,Home,Silicone_Storage_Bags,207,207,0,1.9818,1.0
2023-01-05,MY,Toys,RC_Car_Offroad,145,145,0,1.6136,1.0
2023-01-07,MY,Beauty,Vitamin_C_Serum_30ml,417,417,0,1.8568,1.0
2023-01-08,MY,Home,Bamboo_Cutting_Board,641,641,0,2.2273,1.0
2023-01-10,MY,Fashion,Compression_Leggings,163,163,0,2.1636,1.0
2023-01-11,MY,Electronics,LED_DeskLamp,114,114,0,1.6,1.0
2023-01-11,MY,Fashion,Crossbody_Bag_Canvas,168,168,0,2.2,1.0
2023-01-14,MY,Electronics,LED_DeskLamp,157,157,0,1.6545,1.0
2023-01-14,MY,Beauty,Lip_Tint_Korean,525,525,0,2.0636,1.0
2023-01-15,MY,Beauty,Vitamin_C_Serum_30ml,352,352,0,2.0932,1.0
2023-01-15,MY,Beauty,SPF50_Sunscreen_100ml,925,925,0,2.0932,1.0
2023-01-16,MY,Fashion,Sunglasses_UV400,327,327,0,2.3818,1.0
2023-01-17,MY,Toys,Building_Blocks_500pcs,238,238,0,1.8864,1.0
2023-01-17,MY,Sports,Jump_Rope_Speed,122,122,0,1.0886,1.0
2023-01-20,MY,Electronics,PowerBank_20000,125,125,0,1.7636,1.0
2023-01-22,MY,Fashion,Casual_Tshirt_Pack3,269,269,0,2.6,1.0
2023-01-23,MY,Electronics,TWS_Earbuds_Pro,210,210,0,1.75,1.0
2023-01-23,MY,Home,Cable_Management_Box,205,205,0,2.6875,1.0
2023-01-23,MY,Toys,Puzzle_1000pcs_Animals,55,55,0,1.9375,1.0
2023-01-24,MY,Toys,Puzzle_1000pcs_Animals,79,79,0,1.875,1.0
2023-01-24,MY,Electronics,TWS_Earbuds_Pro,151,151,0,1.7,1.0
2023-01-28,MY,Beauty,Jade_Roller_Set,0,543,1,1.8125,1.0
2023-01-29,MY,Electronics,LED_DeskLamp,128,128,0,1.45,1.0
2023-01-29,MY,Toys,RC_Car_Offroad,0,209,1,1.5625,1.0
2023-01-30,MY,Home,Aromatherapy_Diffuser,85,85,0,1.0,1.0
2023-02-01,MY,Toys,Play_Dough_Set,84,84,0,1.0,1.0
2023-02-01,MY,Beauty,SPF50_Sunscreen_100ml,249,249,0,1.0,1.0
2023-02-02,MY,Beauty,Retinol_Night_Cream,168,168,0,1.0,1.0
2023-02-03,MY,Home,Silicone_Storage_Bags,137,137,0,1.0,1.0
2023-02-04,MY,Toys,Slime_Kit_DIY,101,101,0,1.0,1.0
2023-02-05,MY,Toys,Play_Dough_Set,78,78,0,1.0,1.0
2023-02-05,MY,Home,Weighted_Blanket_5kg,228,228,0,1.0,1.0
2023-02-06,MY,Beauty,Sheet_Mask_10pcs,322,322,0,1.0,1.0
2023-02-06,MY,Fashion,Baseball_Cap_Logo,196,196,0,1.0,1.0
2023-02-07,MY,Fashion,Casual_Tshirt_Pack3,66,66,0,1.0,1.0
2023-02-08,MY,Electronics,LED_DeskLamp,61,61,0,1.0,1.0
2023-02-09,MY,Fashion,Sunglasses_UV400,170,170,0,1.0,1.0
2023-02-14,MY,Toys,RC_Car_Offroad,90,90,0,1.0,1.0
2023-02-16,MY,Electronics,USB_Hub_7Port,89,89,0,1.0,1.0
2023-02-17,MY,Beauty,Lip_Tint_Korean,190,190,0,1.0,1.0
2023-02-17,MY,Beauty,Retinol_Night_Cream,205,205,0,1.0,1.0
2023-02-20,MY,Electronics,Webcam_HD1080,77,77,0,1.0,1.0
2023-02-20,MY,Fashion,Sneakers_Classic_White,93,93,0,1.0,1.0
2023-02-21,MY,Home,Magnetic_Spice_Rack,34,34,0,1.0,1.0
2023-02-21,MY,Fashion,Baseball_Cap_Logo,157,157,0,1.0,1.0
2023-02-22,MY,Beauty,Hair_Mask_Coconut,221,221,0,1.0,1.0
2023-02-23,MY,Sports,Yoga_Mat_6mm,96,96,0,1.0,1.0
2023-02-24,MY,Electronics,SmartWatch_Basic,85,85,0,1.0,1.0
2023-02-24,MY,Toys,Building_Blocks_500pcs,148,148,0,1.0,1.0
2023-02-24,MY,Beauty,SPF50_Sunscreen_100ml,294,294,0,1.0,1.0
2023-02-24,MY,Beauty,Vitamin_C_Serum_30ml,141,141,0,1.0,1.0
2023-02-25,MY,Beauty,Lip_Tint_Korean,225,225,0,1.0,1.0
2023-02-25,MY,Toys,Building_Blocks_500pcs,166,166,0,1.0,1.0
2023-02-26,MY,Electronics,USB_Hub_7Port,124,124,0,1.0,1.0
2023-02-28,MY,Electronics,LED_DeskLamp,60,60,0,1.0,1.0
2023-03-02,MY,Toys,Building_Blocks_500pcs,143,143,0,1.0,1.0
2023-03-03,MY,Electronics,USB_Hub_7Port,108,108,0,1.0,1.0
2023-03-05,MY,Fashion,Casual_Tshirt_Pack3,107,107,0,1.0,1.0
2023-03-06,MY,Home,Cable_Management_Box,92,92,0,1.0,1.0
2023-03-08,MY,Fashion,Crossbody_Bag_Canvas,72,72,0,1.0,1.0
2023-03-08,MY,Home,Magnetic_Spice_Rack,57,57,0,1.0,1.0
2023-03-08,MY,Electronics,TWS_Earbuds_Pro,109,109,0,1.0,1.0
2023-03-13,MY,Beauty,Lip_Tint_Korean,192,192,0,1.0,1.0
2023-03-14,MY,Sports,Gym_Gloves_XL,0,74,1,1.0,1.0
2023-03-16,MY,Toys,Fidget_Cube_Pack,61,61,0,1.0,1.0
2023-03-17,MY,Home,Magnetic_Spice_Rack,66,66,0,1.0,1.0
2023-03-17,MY,Beauty,Hair_Mask_Coconut,0,259,1,1.0,1.0
2023-03-18,MY,Home,Aromatherapy_Diffuser,139,139,0,1.0,1.0
2023-03-19,MY,Toys,Building_Blocks_500pcs,182,182,0,1.0,1.0
2023-03-20,MY,Electronics,Bluetooth_Speaker_Mini,86,86,0,1.0,1.0
2023-03-20,MY,Beauty,Jade_Roller_Set,269,269,0,1.0,1.0
2023-03-21,MY,Electronics,SmartWatch_Basic,250,250,0,1.0,1.0
2023-03-21,MY,Home,Aromatherapy_Diffuser,89,89,0,1.0,1.0
2023-03-23,MY,Toys,Puzzle_1000pcs_Animals,51,51,0,1.0,1.0
